Token,POS,Gold,MFS_Pred,Match
Artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
is,VBZ,be.v.02,be.v.01,False
electronic,JJ,electronic.a.01,electronic.a.01,True
implementation,NN,implementation.n.02,execution.n.06,False
human,JJ,human.a.01,human.a.01,True
intellectual,JJ,intellectual.s.01,intellectual.s.01,True
capabilities,NNS,capability.n.01,capability.n.01,True
Artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
is,VBZ,be.v.02,be.v.01,False
machine-based,JJ,machine.n.01,O,False
system,NN,system.n.01,system.n.01,True
designed,VBN,design.v.02,plan.v.03,False
perform,VB,perform.v.02,perform.v.01,False
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
capabilities,NNS,capability.n.01,capability.n.01,True
varying,VBG,varying.s.01,change.v.03,False
levels,NNS,degree.n.01,degree.n.01,True
autonomy,NN,autonomy.n.02,autonomy.n.01,False
Developer,NNP,developer.n.01,developer.n.01,True
is,VBZ,be.v.02,be.v.01,False
organization,NN,organization.n.01,organization.n.01,True
individual,JJ,person.n.01,individual.a.01,False
designs,VBZ,design.n.01,plan.v.03,False
builds,NNS,construct.v.01,physique.n.01,False
trains,VBZ,train.v.01,train.v.01,True
tests,NNS,test.n.05,trial.n.02,False
fine-tunes,NNS,fine-tune.v.02,O,False
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
Provider,NN,supplier.n.01,supplier.n.01,True
is,VBZ,be.v.02,be.v.01,False
organization,NN,organization.n.01,organization.n.01,True
individual,JJ,person.n.01,individual.a.01,False
brings,VBZ,bring.v.01,bring.v.01,True
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
market,NN,market.n.01,market.n.01,True
Deployer,NNP,operator.n.01,O,False
is,VBZ,be.v.02,be.v.01,False
organization,NN,organization.n.01,organization.n.01,True
individual,JJ,person.n.01,individual.a.01,False
uses,VBZ,use.v.01,use.v.01,True
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
professional,JJ,professional.a.01,professional.a.01,True
purposes,NNS,purpose.n.01,purpose.n.01,True
User,NNP,user.n.01,user.n.01,True
is,VBZ,be.v.02,be.v.01,False
organization,NN,organization.n.01,organization.n.01,True
individual,JJ,person.n.01,individual.a.01,False
interacts,VBZ,interact.v.01,interact.v.01,True
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
Serious,JJ,serious.s.01,serious.a.01,False
incident,NN,incident.n.01,incident.n.01,True
is,VBZ,be.v.02,be.v.01,False
event,NN,event.n.01,event.n.01,True
occurring,VBG,happen.v.01,happen.v.01,True
operation,NN,operation.n.01,operation.n.01,True
artificial,JJ,artificial.a.01,artificial.a.01,True
intelligence,NN,intelligence.n.01,intelligence.n.01,True
system,NN,system.n.01,system.n.01,True
causes,VBZ,cause.v.01,cause.v.01,True
significant,JJ,significant.a.01,significant.a.01,True
damage,NN,damage.n.01,damage.n.01,True
damage,NN,damage.n.01,damage.n.01,True
affect,VB,affect.v.01,affect.v.01,True
human,JJ,human.a.01,human.a.01,True
life,NN,life.n.01,life.n.01,True
health,NN,health.n.01,health.n.01,True
property,NN,property.n.01,property.n.01,True
environment,NN,environment.n.01,environment.n.01,True
