Gold,Predicted,Match
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
be.v.02,be.v.02,True
electronic.a.01,electronic.a.01,True
implementation.n.02,implementation.n.01,False
human.a.01,human.a.01,True
intellectual.s.01,intellectual.a.01,False
capability.n.01,capability.n.01,True
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
system.n.01,system.n.01,True
be.v.02,be.v.02,True
machine.n.01,machine_readable.a.01,False
system.n.01,system.n.01,True
design.v.02,based.s.01,False
perform.v.02,system.n.01,False
artificial.a.01,design.v.01,False
intelligence.n.01,perform.v.01,False
capability.n.01,artificial.a.01,False
varying.s.01,intelligence.n.01,False
degree.n.01,capability.n.01,False
autonomy.n.02,vary.v.03,False
developer.n.01,developer.n.01,True
be.v.02,be.v.02,True
organization.n.01,organization.n.01,True
person.n.01,individual.n.01,False
design.n.01,design.v.01,False
construct.v.01,build.v.01,False
train.v.01,train.v.01,True
test.n.05,test.v.01,False
fine-tune.v.02,fine-tune.v.01,False
artificial.a.01,fine-tune.v.01,False
intelligence.n.01,tune.n.01,False
system.n.01,artificial.a.01,False
supplier.n.01,provider.n.01,False
be.v.02,be.v.02,True
organization.n.01,organization.n.01,True
person.n.01,individual.n.01,False
bring.v.01,bring.v.02,False
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
system.n.01,system.n.01,True
market.n.01,market.n.01,True
operator.n.01,deploy.v.01,False
be.v.02,be.v.02,True
organization.n.01,organization.n.01,True
person.n.01,individual.n.01,False
use.v.01,use.v.01,True
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
system.n.01,system.n.01,True
professional.a.01,professional.a.01,True
purpose.n.01,purpose.n.01,True
user.n.01,user.n.01,True
be.v.02,be.v.02,True
organization.n.01,organization.n.01,True
person.n.01,individual.n.01,False
interact.v.01,interact.v.01,True
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
system.n.01,system.n.01,True
serious.s.01,serious.a.01,False
incident.n.01,incident.n.01,True
be.v.02,be.v.02,True
event.n.01,event.n.01,True
happen.v.01,happen.v.01,True
operation.n.01,operation.n.01,True
artificial.a.01,artificial.a.01,True
intelligence.n.01,intelligence.n.01,True
system.n.01,system.n.01,True
cause.v.01,cause.v.01,True
significant.a.01,significant.a.01,True
damage.n.01,damage.n.01,True
damage.n.01,damage.n.01,True
affect.v.01,affect.v.01,True
human.a.01,human.a.01,True
life.n.01,life.n.01,True
health.n.01,health.n.01,True
property.n.01,property.n.01,True
environment.n.01,environment.n.01,True
