Gold,Predicted,Match
artificial.a.01,artfully.r.01,False
intelligence.n.01,instillation.n.01,False
be.v.02,battlefield.n.01,False
electronic.a.01,elder.n.01,False
implementation.n.02,once.r.01,False
human.a.01,house.n.01,False
intellectual.s.01,house.n.01,False
capability.n.01,canter.n.01,False
artificial.a.01,artfully.r.01,False
intelligence.n.01,instillation.n.01,False
system.n.01,sweep.v.02,False
be.v.02,battlefield.n.01,False
machine.n.01,artfully.r.01,False
system.n.01,battlefield.n.01,False
design.v.02,erroneousness.n.01,False
perform.v.02,sweep.v.02,False
artificial.a.01,derive.v.05,False
intelligence.n.01,peg.n.01,False
capability.n.01,artfully.r.01,False
varying.s.01,instillation.n.01,False
degree.n.01,canter.n.01,False
autonomy.n.02,determination.n.02,False
developer.n.01,detergency.n.01,False
be.v.02,battlefield.n.01,False
organization.n.01,opinion.n.04,False
person.n.01,indefinable.s.02,False
design.n.01,derivation.n.03,False
construct.v.01,consort.v.01,False
train.v.01,topsoil.n.01,False
test.n.05,telegraphy.n.01,False
fine-tune.v.02,film.n.02,False
artificial.a.01,battlefield.n.01,False
intelligence.n.01,trichromatic.s.01,False
system.n.01,artfully.r.01,False
supplier.n.01,detergency.n.01,False
be.v.02,battlefield.n.01,False
organization.n.01,opinion.n.04,False
person.n.01,indefinite.a.01,False
bring.v.01,bright.s.03,False
artificial.a.01,artfully.r.01,False
intelligence.n.01,instillation.n.01,False
system.n.01,sweep.v.02,False
market.n.01,manner_of_speaking.n.01,False
user.n.01,unsharpened.s.01,False
be.v.02,battlefield.n.01,False
organization.n.01,opinion.n.04,False
person.n.01,indefinable.s.02,False
interact.v.01,insubstantial.a.01,False
artificial.a.01,artfully.r.01,False
intelligence.n.01,instillation.n.01,False
system.n.01,sweep.v.02,False
serious.s.01,self-locking.s.01,False
incident.n.01,in_the_long_run.r.01,False
be.v.02,battlefield.n.01,False
event.n.01,etiquette.n.01,False
happen.v.01,handful.n.02,False
operation.n.01,once.r.01,False
artificial.a.01,artfully.r.01,False
intelligence.n.01,instillation.n.01,False
system.n.01,sweep.v.02,False
cause.n.01,catholic.a.01,False
significant.a.01,show.v.04,False
damage.n.01,cyst.n.01,False
human.a.01,house.n.01,False
life.n.01,level.s.02,False
