Sentence_ID,Token,POS,Selected_Synset
101,This,DT,
101,Law,NN,laws.n.01
101,provides,VBZ,provide.v.02
101,for,IN,
101,the,DT,
101,research,NN,research.n.01
101,development,NN,development.n.01
101,provision,NN,provision.n.01
101,deployment,NN,deployment.n.01
101,and,CC,
101,use,NN,use.n.01
101,of,IN,
101,artiﬁcial,JJ,artificial.a.01
101,intelligence,NN,intelligence.n.01
101,systems,NNS,system.n.01
101,(,(,
101,hereinafter,RB,
101,referred,VBN,refer.v.01
101,to,TO,
101,as,IN,
101,artiﬁcial,JJ,artificial.a.01
101,intelligence,NN,intelligence.n.01
101,activities,NNS,activity.n.01
101,),),
101,;,,
101,the,DT,
101,rights,NNS,right.n.01
101,and,CC,
101,obligations,NNS,obligation.n.01
101,of,IN,
101,relevant,JJ,relevant.a.01
101,organizations,NNS,organization.n.01
101,and,CC,
101,individuals,NNS,individual.n.01
101,;,,
101,and,CC,
101,state,NN,state.n.01
101,management,NN,management.n.01
101,of,IN,
101,artiﬁcial,JJ,artificial.a.01
101,intelligence,NN,intelligence.n.01
101,activities,NNS,activity.n.01
101,in,IN,
101,Vietnam,NNP,Vietnam.n.01
102,Artiﬁcial,JJ,artificial.a.01
102,intelligence,NN,intelligence.n.01
102,is,VBZ,be.v.02
102,the,DT,
102,electronic,JJ,electronic.a.01
102,implementation,NN,implementation.n.01
102,of,IN,
102,human,JJ,human.a.01
102,intellectual,JJ,intellectual.a.01
102,capabilities,NNS,capability.n.01
102,including,IN,
102,learning,NN,learning.n.01
102,reasoning,NN,reasoning.n.01
102,perception,NN,perception.n.01
102,judgment,NN,judgment.n.01
102,and,CC,
102,natural,JJ,natural.a.01
102,language,NN,language.n.01
102,understanding,NN,understanding.n.01
102,.,.,
103,Developer,NN,developer.n.01
103,is,VBZ,be.v.02
103,an,DT,
103,organization,NN,organization.n.01
103,or,CC,
103,individual,NN,individual.n.01
103,that,IN,
103,designs,VBZ,design.v.01
103,builds,VBZ,build.v.01
103,trains,VBZ,train.v.01
103,tests,VBZ,test.v.01
103,or,CC,
103,fine-tunes,VBZ,fine-tune.v.01
103,all,DT,
103,or,CC,
103,part,NN,part.n.01
103,of,IN,
103,a,DT,
103,model,NN,model.n.01
103,algorithm,NN,algorithm.n.01
103,or,CC,
103,artificial,JJ,artificial.a.01
103,intelligence,NN,intelligence.n.01
103,system,NN,system.n.01
103,and,CC,
103,has,VBZ,have.v.01
103,direct,JJ,direct.a.01
103,control,NN,control.n.01
103,over,IN,
103,technical,JJ,technical.a.01
103,methods,NNS,method.n.01
103,training,NN,training.n.01
103,data,NNS,data.n.01
103,or,CC,
103,model,NN,model.n.01
103,parameters,NNS,parameter.n.01
104,Provider,NN,provider.n.01
104,is,VBZ,
104,an,DT,
104,organization,NN,organization.n.01
104,or,CC,
104,individual,NN,individual.n.01
104,that,DT,
104,brings,VBZ,bring.v.02
104,an,DT,
104,artificial,JJ,artificial.a.01
104,intelligence,NN,intelligence.n.01
104,system,NN,system.n.01
104,to,TO,
104,the,DT,
104,market,NN,market.n.01
104,or,CC,
104,puts,VBZ,put.v.01
104,it,PRP,
104,into,IN,
104,use,NN,use.n.01
104,under,IN,
104,their,PRP$,
104,own,JJ,own.a.01
104,name,NN,name.n.01
104,brand,NN,brand.n.01
104,or,CC,
104,trademark,NN,trademark.n.01
104,regardless,RB,
104,of,IN,
104,whether,IN,
104,that,DT,
104,system,NN,system.n.01
104,was,VBD,be.v.02
104,developed,VBN,develop.v.02
104,by,IN,
104,them,PRP,
104,or,CC,
104,a,DT,
104,third,JJ,third.a.01
104,party,NN,party.n.01
104,.,.,
105,Deployer,NN,
105,is,VBZ,
105,an,DT,
105,organization,NN,organization.n.01
105,individual,NN,individual.n.01
105,or,CC,
105,state,NN,state.n.01
105,agency,NN,agency.n.01
105,that,IN,
105,uses,VBZ,use.v.01
105,an,DT,
105,artiﬁcial,JJ,artificial.a.01
105,intelligence,NN,intelligence.n.01
105,system,NN,system.n.01
105,under,IN,
105,its,PRP$,
105,control,NN,control.n.01
105,in,IN,
105,professional,JJ,professional.a.01
105,commercial,JJ,commercial.a.01
105,activities,NNS,activity.n.01
105,or,CC,
105,in,IN,
105,providing,VBG,provide.v.01
105,services,NNS,service.n.01
105,;,,
105,excluding,VBG,exclude.v.01
105,cases,NNS,case.n.01
105,of,IN,
105,personal,JJ,personal.a.01
105,non-commercial,JJ,noncommercial.a.01
105,use,NN,use.n.01
106,User,NN,user.n.01
106,is,VBZ,
106,an,DT,
106,organization,NN,organization.n.01
106,or,CC,
106,individual,NN,individual.n.01
106,that,DT,
106,directly,RB,
106,interacts,VBZ,interact.v.01
106,with,IN,
106,an,DT,
106,artificial,JJ,artificial.a.01
106,intelligence,NN,intelligence.n.01
106,system,NN,system.n.01
106,or,CC,
106,uses,VBZ,use.v.01
