Sentence_ID,Token,POS,Candidates,Selected_Synset,FOL_Predicate
1,Artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
1,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
1,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
1,electronic,JJ,electronic.a.01 (of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons) | electronic.a.02 (of or concerned with electrons),,
1,implementation,NN,execution.n.06 (the act of accomplishing some aim or executing some order) | implementation.n.02 (the act of implementing (providing a practical means for accomplishing something); carrying into effect),,
1,human,JJ,"homo.n.02 (any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage) | human.a.01 (characteristic of humanity) | human.a.02 (relating to a person) | human.a.03 (having human form or attributes as opposed to those of animals or divine beings)",,
1,intellectual,JJ,intellectual.n.01 (a person who uses the mind creatively) | intellectual.s.01 (of or associated with or requiring the use of the mind) | intellectual.a.02 (appealing to or using the intellect) | cerebral.a.01 (involving intelligence rather than emotions or instinct),,
1,capabilities,NNS,capability.n.01 (the quality of being capable -- physically or intellectually or legally) | capability.n.02 (the susceptibility of something to a particular treatment) | capability.n.03 (an aptitude that may be developed),,
2,Artificial,JJ,artificial.a.01 (contrived by art rather than nature) | artificial.s.01 (artificially formal) | artificial.s.02 (not arising from natural growth or characterized by vital processes),,
2,intelligence,NN,intelligence.n.01 (the ability to comprehend; to understand and profit from experience) | intelligence.n.02 (a unit responsible for gathering and interpreting information about an enemy) | intelligence.n.03 (secret information about an enemy (or potential enemy)) | news.n.01 (information about recent and important events) | intelligence.n.05 (the operation of gathering information about an enemy),,
2,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
2,is,VBZ,"be.v.01 (have the quality of being; (copula, used with an adjective or a predicate noun)) | be.v.02 (be identical to; be someone or something) | be.v.03 (occupy a certain position or area; be somewhere) | exist.v.01 (have an existence, be extant) | be.v.05 (happen, occur, take place)",,
2,machine-based,JJ,,,
2,system,NN,system.n.01 (instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity) | system.n.02 (a group of independent but interrelated elements comprising a unified whole) | system.n.03 ((physical chemistry) a sample of matter in which substances in different phases are in equilibrium) | system.n.04 (a complex of methods or rules governing behavior) | arrangement.n.03 (an organized structure for arranging or classifying),,
2,designed,VBN,"plan.v.03 (make or work out a plan for; devise) | design.v.02 (plan something for a specific role or purpose or effect) | design.v.03 (create the design for; create or execute in an artistic or highly skilled manner) | design.v.04 (make a design of; plan out in systematic, often graphic form) | design.v.05 (create designs)",,
